Gene,pathways
RNR2,"['PATHWAY     sce00230  Purine metabolism', 'sce00240  Pyrimidine metabolism', 'sce00480  Glutathione metabolism', 'sce01100  Metabolic pathways']"
MAD2,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
SNX4,['PATHWAY     sce04144  Endocytosis']
NUP192,['PATHWAY     sce03013  Nucleocytoplasmic transport']
NSP1,['PATHWAY     sce03013  Nucleocytoplasmic transport']
PEP8,['PATHWAY     sce04144  Endocytosis']
BNA3,"['PATHWAY     sce00380  Tryptophan metabolism', 'sce01100  Metabolic pathways']"
MRPL8,['PATHWAY     sce03010  Ribosome']
DLS1,"['PATHWAY     sce03030  DNA replication', 'sce03410  Base excision repair', 'sce03420  Nucleotide excision repair']"
UTP18,['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes']
ARG2,"['PATHWAY     sce00220  Arginine biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01210  2-Oxocarboxylic acid metabolism', 'sce01230  Biosynthesis of amino acids']"
JEM1,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
SMC3,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
ARG3,"['PATHWAY     sce00220  Arginine biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
GWT1,"['PATHWAY     sce00563  Glycosylphosphatidylinositol (GPI)-anchor biosynthesis', 'sce01100  Metabolic pathways']"
SRS2,"['PATHWAY     sce03420  Nucleotide excision repair', 'sce03430  Mismatch repair']"
BCK1,"['PATHWAY     sce04011  MAPK signaling pathway - yeast', 'sce04139  Mitophagy - yeast']"
PHS1,"['PATHWAY     sce00062  Fatty acid elongation', 'sce01040  Biosynthesis of unsaturated fatty acids', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01212  Fatty acid metabolism']"
LSB6,"['PATHWAY     sce00562  Inositol phosphate metabolism', 'sce01100  Metabolic pathways', 'sce04070  Phosphatidylinositol signaling system']"
GSH1,"['PATHWAY     sce00270  Cysteine and methionine metabolism', 'sce00480  Glutathione metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
IME2,['PATHWAY     sce04113  Meiosis - yeast']
UTP10,['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes']
RPE1,"['PATHWAY     sce00030  Pentose phosphate pathway', 'sce00040  Pentose and glucuronate interconversions', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01230  Biosynthesis of amino acids']"
LSM1,['PATHWAY     sce03018  RNA degradation']
URA2,"['PATHWAY     sce00240  Pyrimidine metabolism', 'sce00250  Alanine, aspartate and glutamate metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
LCB3,"['PATHWAY     sce00600  Sphingolipid metabolism', 'sce01100  Metabolic pathways']"
RPS21B,['PATHWAY     sce03010  Ribosome']
GLG2,"['PATHWAY     sce00500  Starch and sucrose metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
RPB4,['PATHWAY     sce03020  RNA polymerase']
RPA34,['PATHWAY     sce03020  RNA polymerase']
INO1,"['PATHWAY     sce00562  Inositol phosphate metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
VPS35,['PATHWAY     sce04144  Endocytosis']
FBP26,"['PATHWAY     sce00051  Fructose and mannose metabolism', 'sce01100  Metabolic pathways']"
FAR1,"['PATHWAY     sce04011  MAPK signaling pathway - yeast', 'sce04111  Cell cycle - yeast']"
TPK1,"['PATHWAY     sce04113  Meiosis - yeast', 'sce04138  Autophagy - yeast', 'sce04213  Longevity regulating pathway - multiple species']"
QCR8,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways']"
RPL17B,['PATHWAY     sce03010  Ribosome']
ATG27,['PATHWAY     sce04138  Autophagy - yeast']
MNN11,"['PATHWAY     sce00513  Various types of N-glycan biosynthesis', 'sce01100  Metabolic pathways']"
MNN5,"['PATHWAY     sce00513  Various types of N-glycan biosynthesis', 'sce01100  Metabolic pathways']"
SWE1,"['PATHWAY     sce04011  MAPK signaling pathway - yeast', 'sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
RPS22A,['PATHWAY     sce03010  Ribosome']
CDC6,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
ELO1,"['PATHWAY     sce00062  Fatty acid elongation', 'sce01040  Biosynthesis of unsaturated fatty acids', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01212  Fatty acid metabolism']"
ACO2,"['PATHWAY     sce00300  Lysine biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01210  2-Oxocarboxylic acid metabolism', 'sce01230  Biosynthesis of amino acids']"
PRP21,['PATHWAY     sce03040  Spliceosome']
IMA5,"['PATHWAY     sce00052  Galactose metabolism', 'sce00500  Starch and sucrose metabolism', 'sce01100  Metabolic pathways']"
HXT9,['PATHWAY     sce04113  Meiosis - yeast']
IMA4,"['PATHWAY     sce00052  Galactose metabolism', 'sce00500  Starch and sucrose metabolism', 'sce01100  Metabolic pathways']"
MPP10,['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes']
APL1,['PATHWAY     sce04144  Endocytosis']
POL31,"['PATHWAY     sce03030  DNA replication', 'sce03410  Base excision repair', 'sce03420  Nucleotide excision repair', 'sce03430  Mismatch repair', 'sce03440  Homologous recombination']"
TDH2,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01230  Biosynthesis of amino acids']"
SPC1,['PATHWAY     sce03060  Protein export']
MET3,"['PATHWAY     sce00230  Purine metabolism', 'sce00261  Monobactam biosynthesis', 'sce00450  Selenocompound metabolism', 'sce00920  Sulfur metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
GPI14,"['PATHWAY     sce00563  Glycosylphosphatidylinositol (GPI)-anchor biosynthesis', 'sce01100  Metabolic pathways']"
ILV3,"['PATHWAY     sce00290  Valine, leucine and isoleucine biosynthesis', 'sce00770  Pantothenate and CoA biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01210  2-Oxocarboxylic acid metabolism', 'sce01230  Biosynthesis of amino acids']"
TES1,"['PATHWAY     sce00062  Fatty acid elongation', 'sce01040  Biosynthesis of unsaturated fatty acids', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
LSM8,"['PATHWAY     sce03018  RNA degradation', 'sce03040  Spliceosome']"
MDE1,"['PATHWAY     sce00270  Cysteine and methionine metabolism', 'sce01100  Metabolic pathways']"
BNA1,"['PATHWAY     sce00380  Tryptophan metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
GEA1,['PATHWAY     sce04144  Endocytosis']
RAD26,['PATHWAY     sce03420  Nucleotide excision repair']
NUP85,['PATHWAY     sce03013  Nucleocytoplasmic transport']
POL32,"['PATHWAY     sce03030  DNA replication', 'sce03410  Base excision repair', 'sce03420  Nucleotide excision repair', 'sce03430  Mismatch repair', 'sce03440  Homologous recombination']"
CYC1,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways']"
UTR1,"['PATHWAY     sce00760  Nicotinate and nicotinamide metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
ISY1,['PATHWAY     sce03040  Spliceosome']
BFA1,['PATHWAY     sce04111  Cell cycle - yeast']
CDC8,"['PATHWAY     sce00240  Pyrimidine metabolism', 'sce01100  Metabolic pathways']"
APS2,['PATHWAY     sce04144  Endocytosis']
TOR1,"['PATHWAY     sce04113  Meiosis - yeast', 'sce04136  Autophagy - other', 'sce04138  Autophagy - yeast', 'sce04139  Mitophagy - yeast', 'sce04213  Longevity regulating pathway - multiple species']"
RFC2,"['PATHWAY     sce03030  DNA replication', 'sce03420  Nucleotide excision repair', 'sce03430  Mismatch repair']"
HAM1,"['PATHWAY     sce00230  Purine metabolism', 'sce01100  Metabolic pathways']"
OPI3,"['PATHWAY     sce00564  Glycerophospholipid metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
HOC1,"['PATHWAY     sce00513  Various types of N-glycan biosynthesis', 'sce01100  Metabolic pathways']"
FIP1,['PATHWAY     sce03015  mRNA surveillance pathway']
RPL43B,['PATHWAY     sce03010  Ribosome']
RSM26,"['PATHWAY     sce04146  Peroxisome', 'sce04213  Longevity regulating pathway - multiple species']"
VPS25,['PATHWAY     sce04144  Endocytosis']
SOD1,"['PATHWAY     sce04146  Peroxisome', 'sce04213  Longevity regulating pathway - multiple species']"
CPA2,"['PATHWAY     sce00240  Pyrimidine metabolism', 'sce00250  Alanine, aspartate and glutamate metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
YMR1,"['PATHWAY     sce00562  Inositol phosphate metabolism', 'sce01100  Metabolic pathways', 'sce04070  Phosphatidylinositol signaling system', 'sce04138  Autophagy - yeast']"
RSM7,['PATHWAY     sce03010  Ribosome']
STE24,"['PATHWAY     sce00900  Terpenoid backbone biosynthesis', 'sce01110  Biosynthesis of secondary metabolites']"
ATP2,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways']"
ENT3,['PATHWAY     sce04144  Endocytosis']
STR2,"['PATHWAY     sce00270  Cysteine and methionine metabolism', 'sce00450  Selenocompound metabolism', 'sce00920  Sulfur metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
MNS1,"['PATHWAY     sce00510  N-Glycan biosynthesis', 'sce00513  Various types of N-glycan biosynthesis', 'sce01100  Metabolic pathways', 'sce04141  Protein processing in endoplasmic reticulum']"
NMD5,['PATHWAY     sce03013  Nucleocytoplasmic transport']
MET5,"['PATHWAY     sce00920  Sulfur metabolism', 'sce01100  Metabolic pathways']"
HOM6,"['PATHWAY     sce00260  Glycine, serine and threonine metabolism', 'sce00270  Cysteine and methionine metabolism', 'sce00300  Lysine biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
PMT4,"['PATHWAY     sce00514  Other types of O-glycan biosynthesis', 'sce00515  Mannose type O-glycan biosynthesis', 'sce01100  Metabolic pathways']"
BAT2,"['PATHWAY     sce00270  Cysteine and methionine metabolism', 'sce00280  Valine, leucine and isoleucine degradation', 'sce00290  Valine, leucine and isoleucine biosynthesis', 'sce00770  Pantothenate and CoA biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01210  2-Oxocarboxylic acid metabolism', 'sce01230  Biosynthesis of amino acids', 'sce01240  Biosynthesis of cofactors']"
PGU1,"['PATHWAY     sce00040  Pentose and glucuronate interconversions', 'sce01100  Metabolic pathways']"
THI11,"['PATHWAY     sce00730  Thiamine metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
MET14,"['PATHWAY     sce00230  Purine metabolism', 'sce00920  Sulfur metabolism', 'sce01100  Metabolic pathways']"
DID4,['PATHWAY     sce04144  Endocytosis']
MRP17,['PATHWAY     sce03010  Ribosome']
SFT1,['PATHWAY     sce04130  SNARE interactions in vesicular transport']
CAP1,['PATHWAY     sce04144  Endocytosis']
LAC1,"['PATHWAY     sce00600  Sphingolipid metabolism', 'sce01100  Metabolic pathways']"
UFD4,['PATHWAY     sce04120  Ubiquitin mediated proteolysis']
PRP40,['PATHWAY     sce03040  Spliceosome']
ATP7,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways']"
RAM2,"['PATHWAY     sce00900  Terpenoid backbone biosynthesis', 'sce01110  Biosynthesis of secondary metabolites']"
CDC16,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast', 'sce04120  Ubiquitin mediated proteolysis']"
URA6,"['PATHWAY     sce00240  Pyrimidine metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
PAN3,['PATHWAY     sce03018  RNA degradation']
TFA1,['PATHWAY     sce03022  Basal transcription factors']
MAE1,"['PATHWAY     sce00620  Pyruvate metabolism', 'sce01200  Carbon metabolism']"
UGP1,"['PATHWAY     sce00040  Pentose and glucuronate interconversions', 'sce00052  Galactose metabolism', 'sce00500  Starch and sucrose metabolism', 'sce00520  Amino sugar and nucleotide sugar metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors', 'sce01250  Biosynthesis of nucleotide sugars']"
VPS24,['PATHWAY     sce04144  Endocytosis']
PRI2,['PATHWAY     sce03030  DNA replication']
ELM1,['PATHWAY     sce04138  Autophagy - yeast']
OAR1,"['PATHWAY     sce00061  Fatty acid biosynthesis', 'sce00780  Biotin metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01212  Fatty acid metabolism', 'sce01240  Biosynthesis of cofactors']"
NUP120,['PATHWAY     sce03013  Nucleocytoplasmic transport']
TOA2,['PATHWAY     sce03022  Basal transcription factors']
MPE1,['PATHWAY     sce03015  mRNA surveillance pathway']
YNK1,"['PATHWAY     sce00230  Purine metabolism', 'sce00240  Pyrimidine metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
NUP100,['PATHWAY     sce03013  Nucleocytoplasmic transport']
LHS1,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
MUD2,['PATHWAY     sce03040  Spliceosome']
VMA5,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways', 'sce04145  Phagosome']"
MDH1,"['PATHWAY     sce00020  Citrate cycle (TCA cycle)', 'sce00270  Cysteine and methionine metabolism', 'sce00620  Pyruvate metabolism', 'sce00630  Glyoxylate and dicarboxylate metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism']"
CYT2,"['PATHWAY     sce00860  Porphyrin and chlorophyll metabolism', 'sce01100  Metabolic pathways']"
CAB3,"['PATHWAY     sce00770  Pantothenate and CoA biosynthesis', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
YJU3,"['PATHWAY     sce00561  Glycerolipid metabolism', 'sce01100  Metabolic pathways']"
HSL1,"['PATHWAY     sce04011  MAPK signaling pathway - yeast', 'sce04111  Cell cycle - yeast']"
AAT1,"['PATHWAY     sce00220  Arginine biosynthesis', 'sce00250  Alanine, aspartate and glutamate metabolism', 'sce00270  Cysteine and methionine metabolism', 'sce00330  Arginine and proline metabolism', 'sce00350  Tyrosine metabolism', 'sce00360  Phenylalanine metabolism', 'sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01210  2-Oxocarboxylic acid metabolism', 'sce01230  Biosynthesis of amino acids']"
RAD27,"['PATHWAY     sce03030  DNA replication', 'sce03410  Base excision repair', 'sce03450  Non-homologous end-joining']"
APN1,['PATHWAY     sce03410  Base excision repair']
RMA1,"['PATHWAY     sce00790  Folate biosynthesis', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
TGL1,['PATHWAY     sce00100  Steroid biosynthesis']
SDH3,"['PATHWAY     sce00020  Citrate cycle (TCA cycle)', 'sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism']"
RPT1,['PATHWAY     sce03050  Proteasome']
AVT3,['PATHWAY     sce04138  Autophagy - yeast']
SDH1,"['PATHWAY     sce00020  Citrate cycle (TCA cycle)', 'sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism']"
MCR1,['PATHWAY     sce00520  Amino sugar and nucleotide sugar metabolism']
GPM1,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce00260  Glycine, serine and threonine metabolism', 'sce00680  Methane metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01230  Biosynthesis of amino acids']"
SRP102,['PATHWAY     sce03060  Protein export']
RPS27A,['PATHWAY     sce03010  Ribosome']
KDX1,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
MCD4,"['PATHWAY     sce00563  Glycosylphosphatidylinositol (GPI)-anchor biosynthesis', 'sce01100  Metabolic pathways']"
TPK3,"['PATHWAY     sce04113  Meiosis - yeast', 'sce04138  Autophagy - yeast', 'sce04213  Longevity regulating pathway - multiple species']"
SNU114,['PATHWAY     sce03040  Spliceosome']
STE3,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
PRS1,"['PATHWAY     sce00030  Pentose phosphate pathway', 'sce00230  Purine metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01230  Biosynthesis of amino acids']"
FAS1,"['PATHWAY     sce00061  Fatty acid biosynthesis', 'sce01100  Metabolic pathways', 'sce01212  Fatty acid metabolism']"
SPE1,"['PATHWAY     sce00330  Arginine and proline metabolism', 'sce00480  Glutathione metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
PXA2,"['PATHWAY     sce02010  ABC transporters', 'sce04146  Peroxisome']"
MST1,['PATHWAY     sce00970  Aminoacyl-tRNA biosynthesis']
PEX1,['PATHWAY     sce04146  Peroxisome']
LOS1,['PATHWAY     sce03013  Nucleocytoplasmic transport']
STE6,['PATHWAY     sce02010  ABC transporters']
UBA1,['PATHWAY     sce04120  Ubiquitin mediated proteolysis']
TRP3,"['PATHWAY     sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
SAC1,"['PATHWAY     sce00562  Inositol phosphate metabolism', 'sce01100  Metabolic pathways', 'sce04070  Phosphatidylinositol signaling system']"
DOA1,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
OXP1,"['PATHWAY     sce00480  Glutathione metabolism', 'sce01100  Metabolic pathways']"
URA1,"['PATHWAY     sce00240  Pyrimidine metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
FOX2,"['PATHWAY     sce00410  beta-Alanine metabolism', 'sce00640  Propanoate metabolism', 'sce01100  Metabolic pathways', 'sce01200  Carbon metabolism']"
YPT52,"['PATHWAY     sce04144  Endocytosis', 'sce04145  Phagosome']"
RPC37,['PATHWAY     sce03020  RNA polymerase']
SPO14,"['PATHWAY     sce00564  Glycerophospholipid metabolism', 'sce00565  Ether lipid metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce04144  Endocytosis']"
DID2,['PATHWAY     sce04144  Endocytosis']
YSR3,"['PATHWAY     sce00600  Sphingolipid metabolism', 'sce01100  Metabolic pathways']"
DYN1,['PATHWAY     sce04145  Phagosome']
RPS21A,['PATHWAY     sce03010  Ribosome']
GLG1,"['PATHWAY     sce00500  Starch and sucrose metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
TFA2,['PATHWAY     sce03022  Basal transcription factors']
GPT2,"['PATHWAY     sce00561  Glycerolipid metabolism', 'sce00564  Glycerophospholipid metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
MET1,"['PATHWAY     sce00860  Porphyrin and chlorophyll metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
MTD1,"['PATHWAY     sce00670  One carbon pool by folate', 'sce01100  Metabolic pathways']"
NUP133,['PATHWAY     sce03013  Nucleocytoplasmic transport']
HBS1,['PATHWAY     sce03015  mRNA surveillance pathway']
PRP16,['PATHWAY     sce03040  Spliceosome']
TGL4,"['PATHWAY     sce00100  Steroid biosynthesis', 'sce00561  Glycerolipid metabolism', 'sce00564  Glycerophospholipid metabolism', 'sce00565  Ether lipid metabolism', 'sce00590  Arachidonic acid metabolism', 'sce00592  alpha-Linolenic acid metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
MLP1,['PATHWAY     sce03013  Nucleocytoplasmic transport']
PCK1,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce00020  Citrate cycle (TCA cycle)', 'sce00620  Pyruvate metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism']"
DNM1,['PATHWAY     sce04139  Mitophagy - yeast']
MMM1,['PATHWAY     sce04139  Mitophagy - yeast']
COX17,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways']"
BPT1,['PATHWAY     sce02010  ABC transporters']
DPS1,['PATHWAY     sce00970  Aminoacyl-tRNA biosynthesis']
SPA2,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
POM33,['PATHWAY     sce03013  Nucleocytoplasmic transport']
SSA2,"['PATHWAY     sce03040  Spliceosome', 'sce04141  Protein processing in endoplasmic reticulum', 'sce04144  Endocytosis', 'sce04213  Longevity regulating pathway - multiple species']"
HSP104,['PATHWAY     sce04213  Longevity regulating pathway - multiple species']
GPI13,"['PATHWAY     sce00563  Glycosylphosphatidylinositol (GPI)-anchor biosynthesis', 'sce01100  Metabolic pathways']"
RIX7,['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes']
PRP19,"['PATHWAY     sce03040  Spliceosome', 'sce04120  Ubiquitin mediated proteolysis']"
UBI4,['PATHWAY     sce04120  Ubiquitin mediated proteolysis']
SDH2,"['PATHWAY     sce00020  Citrate cycle (TCA cycle)', 'sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism']"
ATG10,['PATHWAY     sce04138  Autophagy - yeast']
RPL8B,['PATHWAY     sce03010  Ribosome']
MHT1,"['PATHWAY     sce00270  Cysteine and methionine metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
SSL1,"['PATHWAY     sce03022  Basal transcription factors', 'sce03420  Nucleotide excision repair']"
SSK1,"['PATHWAY     sce04011  MAPK signaling pathway - yeast', 'sce04139  Mitophagy - yeast']"
RLP24,['PATHWAY     sce03010  Ribosome']
POM34,['PATHWAY     sce03013  Nucleocytoplasmic transport']
SDO1,['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes']
SNF7,['PATHWAY     sce04144  Endocytosis']
AAT2,"['PATHWAY     sce00220  Arginine biosynthesis', 'sce00250  Alanine, aspartate and glutamate metabolism', 'sce00270  Cysteine and methionine metabolism', 'sce00330  Arginine and proline metabolism', 'sce00350  Tyrosine metabolism', 'sce00360  Phenylalanine metabolism', 'sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01210  2-Oxocarboxylic acid metabolism', 'sce01230  Biosynthesis of amino acids']"
ADE16,"['PATHWAY     sce00230  Purine metabolism', 'sce00670  One carbon pool by folate', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
COX12,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways']"
PDC1,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
RPS0B,['PATHWAY     sce03010  Ribosome']
ERG3,"['PATHWAY     sce00100  Steroid biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
MNL2,"['PATHWAY     sce00510  N-Glycan biosynthesis', 'sce00513  Various types of N-glycan biosynthesis', 'sce01100  Metabolic pathways', 'sce04141  Protein processing in endoplasmic reticulum']"
SHM2,"['PATHWAY     sce00260  Glycine, serine and threonine metabolism', 'sce00460  Cyanoamino acid metabolism', 'sce00630  Glyoxylate and dicarboxylate metabolism', 'sce00670  One carbon pool by folate', 'sce00680  Methane metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01230  Biosynthesis of amino acids', 'sce01240  Biosynthesis of cofactors']"
REX2,['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes']
FRS1,['PATHWAY     sce00970  Aminoacyl-tRNA biosynthesis']
PER33,['PATHWAY     sce03013  Nucleocytoplasmic transport']
SPC3,['PATHWAY     sce03060  Protein export']
XYL2,"['PATHWAY     sce00040  Pentose and glucuronate interconversions', 'sce01100  Metabolic pathways']"
BOS1,['PATHWAY     sce04130  SNARE interactions in vesicular transport']
SIC1,"['PATHWAY     sce04011  MAPK signaling pathway - yeast', 'sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
EMP46,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
GAL2,['PATHWAY     sce04113  Meiosis - yeast']
SMC4,['PATHWAY     sce04111  Cell cycle - yeast']
GAA1,"['PATHWAY     sce00563  Glycosylphosphatidylinositol (GPI)-anchor biosynthesis', 'sce01100  Metabolic pathways']"
ALT1,"['PATHWAY     sce00220  Arginine biosynthesis', 'sce00250  Alanine, aspartate and glutamate metabolism', 'sce01100  Metabolic pathways', 'sce01200  Carbon metabolism', 'sce01210  2-Oxocarboxylic acid metabolism', 'sce01230  Biosynthesis of amino acids']"
XDJ1,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
ERG27,"['PATHWAY     sce00100  Steroid biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
APC9,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast', 'sce04120  Ubiquitin mediated proteolysis']"
CDC45,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
REX3,['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes']
AHP1,['PATHWAY     sce04122  Sulfur relay system']
CFT2,['PATHWAY     sce03015  mRNA surveillance pathway']
CLF1,['PATHWAY     sce03040  Spliceosome']
YPS1,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
APC2,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast', 'sce04120  Ubiquitin mediated proteolysis']"
DIP2,['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes']
CKI1,"['PATHWAY     sce00564  Glycerophospholipid metabolism', 'sce01100  Metabolic pathways']"
PDC5,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
PUT1,"['PATHWAY     sce00330  Arginine and proline metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
RMP1,['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes']
SPE4,"['PATHWAY     sce00270  Cysteine and methionine metabolism', 'sce00330  Arginine and proline metabolism', 'sce00480  Glutathione metabolism', 'sce01100  Metabolic pathways']"
PEP3,['PATHWAY     sce04138  Autophagy - yeast']
